Actual,Predicted,AbsDiff
36.353,31.619085210110565,4.733914789889436
36.671,30.41514331020699,6.25585668979301
37.065,30.770336411480464,6.2946635885195334
37.733,29.286083212756274,8.446916787243723
37.762,28.17119979857487,9.590800201425129
37.956,31.363515121841886,6.592484878158118
37.982,31.008823212910556,6.973176787089443
38.171,32.09495482417632,6.07604517582368
37.556,31.210200091906145,6.345799908093852
37.101,32.07053089882271,5.030469101177289
36.804,33.742849598982886,3.061150401017116
37.312,35.7469316453168,1.5650683546831985
37.612,41.03999596331019,3.427995963310188
37.659,47.1043660121653,9.445366012165302
38.205,53.289916395822594,15.084916395822596
37.982,53.902425208057316,15.920425208057317
37.996,49.19627655129088,11.200276551290877
38.185,45.19857811856303,7.013578118563025
38.248,44.24555200966719,5.997552009667196
38.95,40.84278092619718,1.892780926197176
39.239,44.08990683394999,4.850906833949992
38.565,46.19575710879472,7.630757108794725
37.625,44.76060538361066,7.13560538361066
37.996,45.067485579516074,7.071485579516072
37.956,44.9073428286556,6.951342828655598
37.501,45.541722052745186,8.040722052745188
37.969,48.43737972056011,10.468379720560108
38.347,47.675317969526645,9.328317969526644
38.791,46.65253517840844,7.861535178408445
38.861,46.077223032873924,7.216223032873927
39.434,46.84441233456758,7.410412334567582
39.328,46.55567229524268,7.227672295242677
39.316,46.46980497151133,7.153804971511327
39.28,46.010699363199485,6.730699363199484
39.511,45.752454113886465,6.241454113886462
39.667,45.514306038609824,5.847306038609823
40.462,47.46514263803758,7.003142638037573
40.743,51.03943189257873,10.296431892578731
40.934,53.26580774686358,12.331807746863582
40.664,51.17655672103306,10.512556721033057
40.677,53.055892194570376,12.378892194570376
40.324,53.4047585879144,13.080758587914403
40.393,51.75131887366285,11.358318873662853
40.271,51.9096471549621,11.6386471549621
40.652,51.24162659157425,10.589626591574252
40.926,51.480658074945,10.554658074944996
40.475,55.42343856448587,14.948438564485869
40.58,55.286053523483325,14.706053523483327
40.123,64.93987089771589,24.816870897715894
39.806,62.519709249027926,22.71370924902793
40.027,62.51223075667134,22.485230756671342
39.925,65.54646518892474,25.621465188924745
39.793,71.38853712896753,31.59553712896753
39.751,73.55631058390948,33.80531058390948
40.313,69.88222612105179,29.569226121051784
40.173,71.6350857628496,31.462085762849597
40.457,73.3323706978877,32.875370697887696
40.223,73.43423957809489,33.21123957809489
39.552,74.4991551770183,34.947155177018296
39.376,102.99334615544919,63.61734615544919
39.096,96.07678429421742,56.98078429421742
39.172,105.24592057333203,66.07392057333203
39.323,100.54604738420366,61.22304738420366
39.212,95.92882183917128,56.716821839171274
39.419,91.1792430371246,51.76024303712461
38.168,85.33838993699648,47.17038993699648
38.859,77.70624639633374,38.84724639633374
39.246,79.55404286641077,40.308042866410766
39.946,83.40303596196499,43.45703596196499
39.771,77.02927646006452,37.25827646006452
39.335,76.94328630573507,37.60828630573507
39.122,82.93340496810113,43.81140496810113
38.957,79.84726105228162,40.89026105228162
38.775,82.16038092594889,43.38538092594889
